!#EXCEPTION: Failed to read file /Users/jasonkao/Desktop/pitch-analyzer/f0/.DS_Store
userID,tone1,tone2,tone3,tone4
3,9.116512896824279,31.58109904128301,10.992950469671616,37.76477886343469,
4,5.28767357741481,16.799989334482547,16.94709502620865,29.648012681756658,
5,4.21523449283513,19.631750318181446,22.965055809781102,74.66845559602936,
7,4.989027038054699,18.564962438138682,13.425172700451055,39.71416001088622,
8,3.789258267008487,11.066404556350273,16.89075105159961,11.56469827603768,
9,5.211806243845309,22.537900770081805,16.914308790825977,46.2099261744375,
10,5.653080998072362,19.473753584180386,25.70342182336818,34.253827124175196,
11,4.018774994072398,30.367878652590786,13.540494887863868,39.059697314484694,
12,8.021377980846758,48.186724052422434,13.250231946090517,23.1322691394069,
17,7.545628132647841,15.505586540612278,17.206693126547474,28.320893757197567,
18,5.231799965227374,24.397786793193504,17.25265627620126,33.50577146798746,
19,8.037819208802137,22.368502311759038,12.476776277190687,28.308244674262404,
21,7.213466541547842,14.795358243985554,9.786281242543792,33.67987256707249,
22,11.71289984249131,20.75371124604762,42.7125581682744,39.544348246240276,
24,20.51668555924667,15.496660225140173,20.620149051793835,30.59475792622692,
28,6.032439440483548,16.857426772544844,17.777292704996132,44.47143221562579,
30,5.760737843009924,13.1633850985962,21.16326140963879,17.175660089633375,
31,8.547819177330764,12.85882014778943,23.7387839748037,16.447740790464263,
34,5.802361647115635,19.932235484659742,15.75623067169915,40.709381474538795,
36,4.934541221504573,18.95326728998794,16.218858203621707,28.60020326763191,
37,10.959954917649924,33.463832500662654,17.356830040559455,22.25657474482122,
40,6.385413059108161,74.65429154207852,23.086070654032525,37.49754282143538,
44,21.794123133260403,20.197225925414166,19.323441444406367,41.505405741578215,
45,6.601745680874182,16.941527368697223,21.015949925465915,29.02193043578409,
48,6.8592879478961,10.039383049788553,10.221270206355294,16.13731049667355,
49,16.659761085453315,8.304924889093352,47.13288303125673,26.483863263941117,
54,6.983162845721354,22.454490917979562,19.34637561834221,34.08318613926766,
57,4.177162732387762,21.624270109819793,20.343313310544744,37.00717809487449,
59,15.115367988278246,15.279912482430705,14.384562520920444,28.51403063800007,
60,8.785834145100063,20.623739444458558,8.38880928362359,40.15288150252764,
61,5.423531778978301,21.857159223073296,17.83224713991493,39.74504905911555,
