!#EXCEPTION: Failed to read file /Users/jasonkao/Desktop/pitch-analyzer/f0/.DS_Store
userID,tone1,tone2,tone3,tone4
3,6.6730181682392,25.507583716553658,8.579195758680362,32.25903553851854,
4,4.123351421627902,13.413152350063545,12.990911497419354,26.39847610771929,
5,3.654833529534886,16.012060999505625,18.737201628064522,40.88123312058822,
7,3.606772129105004,15.089889231864397,11.265021011290326,35.18141109128206,
8,2.536410939274426,5.7907098572270055,14.113411049638703,10.131102578333355,
9,4.572130486730095,17.747740915370745,14.295633697822591,41.20217087000004,
10,4.196130679999994,14.272109323256382,21.600860601751155,30.60312340000002,
11,3.5032993348837147,26.21263475322033,9.152958517161272,34.92525719599998,
12,6.134782066222506,40.12293032454021,11.222732244472539,19.86463676333334,
17,5.0164250939534885,12.377047899576269,14.970959497459685,25.485893177333324,
18,4.041311599999996,20.012632494264402,14.674771502064521,29.583151449393945,
19,6.211815029290397,17.895801856820878,10.229292613118284,25.077708386666664,
21,6.583793483189368,12.290855173817228,8.286330726970542,29.178500912380965,
22,7.559100261662357,17.079608230006034,25.156238138709583,33.22987123431372,
24,18.193057100000004,13.00527142060186,16.30770525134725,27.58594603222221,
28,4.361511866877078,13.423496519697665,15.159193514354838,37.692565188974335,
30,4.6318504400894485,7.861077904328092,16.308775119677424,14.326166536811597,
31,7.173122912377785,11.118844714576262,19.30020801359448,15.03626890800001,
34,4.166230340980786,16.09032455101333,13.335759837764442,36.46675661571428,
36,3.752503055503877,16.047538193443337,13.75283652060829,25.17477193508772,
37,9.091586404044476,26.755880839364387,14.380485011935491,19.547093000000014,
40,5.767298569961245,64.84703548258858,18.33015742526881,32.53010589476189,
44,14.323351345985342,15.99135105618872,16.139538602165896,36.40597137619048,
45,5.750780277926774,13.314531003959933,17.73695849365591,25.834016274444444,
48,3.9831555375513017,9.002791586820745,8.736459524874547,13.59354330666666,
49,13.060911328659376,7.290247379999998,44.23529245888971,21.0868947188172,
54,5.281792056721493,17.467160852278717,16.683802798580647,30.61597674526316,
57,3.7794817844186115,17.907133467686933,16.14450354040978,32.653213616,
59,12.765161202674417,11.562817660157089,11.174751039984258,24.821757356666648,
60,6.453991341235451,14.954190125643441,6.24805324858065,35.79670942266664,
61,4.506627061295682,16.67268150085915,15.338353298709674,35.23875060272728,
