34 2
Time_s   F0_Hz
--undefined--   --undefined--
6.084240   122.466757
6.094240   122.151340
6.104240   120.229598
6.114240   120.097744
6.124240   119.436896
6.134240   118.828494
6.144240   120.202687
6.154240   122.300180
6.164240   114.860831
6.174240   113.579295
6.184240   113.417045
6.194240   112.265481
6.204240   112.178874
6.214240   112.038230
6.224240   111.577244
6.234240   111.388479
6.244240   111.959371
6.254240   111.704689
6.264240   111.668180
6.274240   111.481045
6.284240   111.019901
6.294240   111.138624
6.304240   111.664959
6.314240   111.891512
6.324240   112.929758
6.334240   114.186568
6.344240   114.889106
6.354240   114.647784
6.364240   115.023851
6.374240   115.077561
6.384240   115.782442
6.394240   117.342903
6.404240   118.381958
6.414240   120.369694
6.424240   121.729974
6.434240   123.219450
6.444240   125.275862
6.454240   128.230665
6.464240   130.136168
6.474240   132.140743
6.484240   134.117157
6.494240   134.039799
6.504240   134.451802
6.514240   134.955668
6.524240   133.571352
6.534240   130.443440
6.544240   128.039258
