Time_s   F0_Hz
2.474500   140.947503
2.484500   138.420729
2.494500   136.355331
2.504500   133.373964
2.514500   131.040039
2.524500   129.124703
2.534500   124.143669
2.544500   120.952969
2.554500   118.926796
2.564500   116.632338
2.574500   114.149670
2.584500   113.490300
2.594500   112.587855
2.604500   110.764561
2.614500   108.867170
2.624500   108.011113
2.634500   108.280633
2.644500   108.107757
2.654500   108.539069
2.664500   109.923459
2.674500   111.014302
2.684500   112.072251
2.694500   113.451254
2.704500   114.891521
2.714500   115.990826
2.724500   116.282917
2.734500   116.049586
2.744500   116.463756
2.754500   116.690168
2.764500   118.014687
2.774500   118.834179
2.784500   120.574232
2.794500   121.965858
2.804500   122.451402
2.814500   123.361321
2.824500   125.123308
2.834500   127.634638
2.844500   130.147118
2.854500   131.783398
2.864500   132.439222
2.874500   133.168739
2.884500   133.905486
2.894500   134.144219
2.904500   135.062723
2.914500   137.623316
2.924500   141.939380
2.934500   145.537245
2.944500   149.529931
2.954500   152.222232
2.964500   153.664792
2.974500   158.845349
2.984500   166.802301
2.994500   166.429343
3.004500   171.038695
