4 2
Time_s   F0_Hz
1.015930   107.068123
1.025930   107.174330
1.035930   107.898920
1.045930   108.157763
1.055930   108.276523
1.065930   109.311263
1.075930   109.363914
1.085930   109.173238
1.095930   108.886715
1.105930   108.156139
1.115930   108.143591
1.125930   108.219137
1.135930   108.275710
1.145930   109.293647
1.155930   110.878907
1.165930   111.704650
1.175930   112.998078
1.185930   113.832789
1.195930   114.923582
1.205930   116.828817
1.215930   118.793646
1.225930   121.268323
1.235930   124.216366
1.245930   126.030729
1.255930   127.764445
1.265930   128.994337
1.275930   130.511472
1.285930   133.009116
1.295930   136.656143
1.305930   140.833944
1.315930   142.553081
1.325930   142.253301
