24 3
Time_s   F0_Hz
--undefined--   --undefined--
2.064739   130.620891
2.074739   117.066053
2.084739   115.697276
2.094739   113.449701
2.104739   112.140138
2.114739   110.918748
2.124739   109.935247
2.134739   109.076999
2.144739   108.306620
2.154739   106.629379
2.164739   105.146735
2.174739   103.284554
2.184739   101.907500
2.194739   100.878296
2.204739   99.935374
2.214739   98.931228
2.224739   96.405195
2.234739   95.091782
2.244739   93.874446
2.254739   93.158774
2.264739   92.291967
2.274739   92.567278
2.284739   92.634484
2.294739   92.468749
2.304739   90.438686
2.314739   91.006653
2.324739   91.724120
2.334739   90.782513
2.344739   89.801053
2.354739   88.221251
2.364739   85.560714
2.374739   84.585415
2.384739   80.666452
2.394739   78.820923
--undefined--   --undefined--
--undefined--   --undefined--
