8 1
Time_s   F0_Hz
--undefined--   --undefined--
1.551719   318.758926
1.561719   327.531053
1.571719   328.843947
1.581719   326.719971
1.591719   326.350314
1.601719   328.007793
1.611719   330.373162
1.621719   331.623203
1.631719   331.896021
1.641719   331.922471
1.651719   331.559703
1.661719   330.508714
1.671719   329.399715
1.681719   328.580066
1.691719   328.287655
1.701719   327.827766
1.711719   327.685092
1.721719   327.948674
1.731719   327.528866
1.741719   326.860700
1.751719   326.816295
1.761719   326.668299
1.771719   326.072126
1.781719   325.489848
1.791719   324.839118
1.801719   324.366926
1.811719   323.955776
1.821719   323.025085
1.831719   322.503313
1.841719   321.825251
1.851719   320.996797
1.861719   320.371278
1.871719   319.840769
1.881719   319.388487
1.891719   319.411771
1.901719   320.020470
1.911719   320.211220
1.921719   320.432644
1.931719   320.866589
1.941719   321.404728
1.951719   322.299677
1.961719   322.793098
1.971719   323.458259
1.981719   324.582910
1.991719   325.369934
2.001719   325.776522
2.011719   327.606756
2.021719   327.362104
2.031719   319.406345
2.041719   321.051630
--undefined--   --undefined--
--undefined--   --undefined--
