4 1
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.595113   180.481991
0.605113   165.280211
0.615113   162.714245
0.625113   162.225848
0.635113   162.358808
0.645113   162.228634
0.655113   162.277381
0.665113   161.824425
0.675113   161.018999
0.685113   160.319871
0.695113   160.142461
0.705113   160.455000
0.715113   160.212565
0.725113   159.688074
0.735113   159.852924
0.745113   160.305470
0.755113   160.809716
0.765113   161.354346
0.775113   161.332478
0.785113   161.287225
0.795113   161.593600
0.805113   162.120333
0.815113   162.678170
0.825113   163.615587
0.835113   164.075788
0.845113   164.860072
0.855113   166.116854
0.865113   166.356668
0.875113   166.530487
0.885113   166.705764
0.895113   165.277020
0.905113   163.229977
