18 3
Time_s   F0_Hz
--undefined--   --undefined--
2.284750   106.792476
2.294750   107.891740
2.304750   104.776197
2.314750   103.103260
2.324750   102.847191
2.334750   101.994109
2.344750   100.843770
2.354750   98.121347
2.364750   95.663918
2.374750   94.373877
2.384750   94.084305
2.394750   94.527358
2.404750   93.018451
2.414750   94.766459
2.424750   95.409040
2.434750   95.790376
2.444750   95.830803
2.454750   96.095724
2.464750   96.052615
2.474750   94.541165
2.484750   93.043596
2.494750   92.621357
2.504750   92.565804
2.514750   92.463710
2.524750   92.267550
--undefined--   --undefined--
