43 4
Time_s   F0_Hz
3.324865   291.398590
3.334865   267.157408
3.344865   257.537167
3.354865   254.890476
3.364865   250.801861
3.374865   248.103593
3.384865   246.456139
3.394865   245.251243
3.404865   243.087116
3.414865   239.699923
3.424865   237.260796
3.434865   233.563239
3.444865   230.574999
3.454865   228.247358
3.464865   226.521460
3.474865   223.517863
3.484865   222.369784
3.494865   221.245926
3.504865   220.318818
3.514865   220.898606
3.524865   223.631233
3.534865   226.140651
3.544865   232.845844
3.554865   235.371671
3.564865   239.302405
3.574865   241.855471
3.584865   239.748587
3.594865   238.159481
