19 1
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
0.580500   178.230233
0.590500   158.502084
0.600500   149.755995
0.610500   163.172354
0.620500   171.832669
0.630500   169.780276
0.640500   171.398207
0.650500   173.565394
0.660500   174.127308
0.670500   174.808219
0.680500   175.675232
0.690500   175.499586
0.700500   174.710283
0.710500   174.704961
0.720500   175.155387
0.730500   175.781334
0.740500   176.873106
0.750500   178.300387
0.760500   179.289471
0.770500   179.457527
0.780500   179.174428
0.790500   179.266030
0.800500   179.966493
0.810500   180.739468
0.820500   181.558137
0.830500   181.670434
0.840500   181.132687
0.850500   179.986912
0.860500   178.737915
0.870500   177.953920
0.880500   177.058968
0.890500   175.996318
0.900500   174.596135
0.910500   174.730167
0.920500   174.640987
0.930500   174.803844
0.940500   176.058884
0.950500   181.370823
0.960500   184.549021
