34 3
Time_s   F0_Hz
--undefined--   --undefined--
6.904240   107.407427
6.914240   104.091504
6.924240   103.443121
6.934240   103.024618
6.944240   101.961343
6.954240   101.734239
6.964240   100.929770
6.974240   99.828386
6.984240   99.232356
6.994240   98.277541
7.004240   97.030006
7.014240   96.624664
7.024240   96.751941
7.034240   96.414962
7.044240   96.371160
7.054240   96.460133
7.064240   96.047315
7.074240   95.747361
7.084240   95.493396
7.094240   95.424885
7.104240   94.486726
7.114240   94.049630
7.124240   94.322838
7.134240   94.478966
7.144240   94.889189
7.154240   94.932234
7.164240   95.120169
7.174240   95.405818
7.184240   95.403435
7.194240   95.322269
7.204240   94.946423
7.214240   95.472611
7.224240   97.044002
7.234240   98.162788
7.244240   99.093685
7.254240   98.757700
7.264240   98.551575
7.274240   97.612981
7.284240   96.328466
7.294240   96.447985
7.304240   99.371863
7.314240   98.436733
7.324240   98.810008
--undefined--   --undefined--
