57 2
Time_s   F0_Hz
1.398526   131.250766
1.408526   124.055667
1.418526   120.900784
1.428526   118.095093
1.438526   118.526089
1.448526   114.939332
1.458526   112.840144
1.468526   110.104512
1.478526   107.548307
1.488526   105.923551
1.498526   105.379748
1.508526   105.828732
1.518526   105.071360
1.528526   104.357147
1.538526   103.981215
1.548526   102.565688
1.558526   103.548878
1.568526   102.595778
1.578526   103.177881
1.588526   102.849014
1.598526   103.826833
1.608526   101.943487
1.618526   106.877529
1.628526   105.247474
1.638526   105.626899
1.648526   106.544367
1.658526   107.310465
1.668526   107.433411
1.678526   108.642482
1.688526   109.432431
1.698526   109.424934
1.708526   110.935191
1.718526   111.692853
1.728526   111.191303
1.738526   111.616245
1.748526   112.059888
1.758526   111.904763
1.768526   112.143472
1.778526   112.618541
1.788526   112.510606
1.798526   113.099314
1.808526   114.340937
1.818526   115.845627
1.828526   117.856764
1.838526   120.213865
1.848526   121.692806
1.858526   123.828902
1.868526   126.537268
1.878526   127.814974
1.888526   127.461307
1.898526   129.982572
