22 2
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.502229   239.701623
2.512229   223.896829
2.522229   215.280045
2.532229   209.815910
2.542229   205.913709
2.552229   202.384072
2.562229   199.513060
2.572229   197.039220
2.582229   194.364645
2.592229   191.985883
2.602229   191.123446
2.612229   189.247878
2.622229   188.194048
2.632229   188.029549
2.642229   187.561532
2.652229   187.085783
2.662229   186.562564
2.672229   186.192790
2.682229   185.062349
2.692229   184.128911
2.702229   183.713317
2.712229   183.594420
2.722229   183.157409
2.732229   182.787216
2.742229   182.176931
2.752229   182.085951
2.762229   182.992446
2.772229   183.985740
2.782229   184.211140
2.792229   184.116745
2.802229   184.022025
2.812229   183.863515
2.822229   184.055577
2.832229   184.625804
2.842229   185.368732
2.852229   186.127489
2.862229   185.795298
2.872229   185.586272
2.882229   186.239349
2.892229   187.551799
2.902229   188.758719
2.912229   192.809059
2.922229   191.449315
2.932229   192.681966
2.942229   195.897988
2.952229   198.433259
2.962229   201.242558
2.972229   204.284283
2.982229   206.554935
2.992229   209.724351
3.002229   212.342920
3.012229   215.173832
3.022229   217.347081
3.032229   220.286281
3.042229   220.830925
3.052229   221.677402
