18 1
Time_s   F0_Hz
1.204750   137.200669
1.214750   138.441378
1.224750   140.283735
1.234750   138.605853
1.244750   135.921004
1.254750   133.672816
1.264750   132.415055
1.274750   131.631619
1.284750   131.964571
1.294750   132.090110
1.304750   132.145818
1.314750   132.554751
1.324750   131.881590
1.334750   130.954051
1.344750   130.671519
1.354750   131.003687
1.364750   131.590804
1.374750   132.025679
1.384750   132.057144
1.394750   131.677341
1.404750   130.767360
1.414750   129.870151
1.424750   129.381347
1.434750   129.029765
1.444750   128.288532
1.454750   127.451253
1.464750   127.135324
1.474750   127.801754
1.484750   128.433660
1.494750   128.635541
1.504750   123.210556
