12 2
Time_s   F0_Hz
--undefined--   --undefined--
0.973500   246.329879
0.983500   221.307053
0.993500   222.710597
1.003500   224.060531
1.013500   224.937710
1.023500   225.615014
1.033500   233.772203
1.043500   241.092904
1.053500   242.968523
1.063500   253.211759
1.073500   252.960743
1.083500   253.238595
1.093500   255.096824
1.103500   257.913139
1.113500   261.761330
1.123500   263.915120
1.133500   264.470958
1.143500   264.327676
1.153500   263.744044
1.163500   262.753070
1.173500   260.985943
1.183500   259.181773
1.193500   257.253353
1.203500   255.663703
1.213500   253.498515
1.223500   251.157307
1.233500   248.313016
1.243500   245.320373
1.253500   242.327482
1.263500   239.282228
1.273500   234.937252
1.283500   230.637626
1.293500   226.854115
1.303500   223.004469
1.313500   218.725314
1.323500   214.290470
1.333500   210.745437
1.343500   207.367716
1.353500   204.824140
1.363500   201.269931
1.373500   199.755876
1.383500   198.342349
1.393500   198.241009
1.403500   200.534009
1.413500   202.234343
1.423500   201.405869
1.433500   196.891503
