31 2
Time_s   F0_Hz
0.972500   257.159322
0.982500   249.496878
0.992500   246.377368
1.002500   243.608493
1.012500   239.557592
1.022500   239.613935
1.032500   237.345854
1.042500   236.531081
1.052500   234.570544
1.062500   234.572277
1.072500   234.242050
1.082500   234.073644
1.092500   232.136228
1.102500   230.359092
1.112500   227.966784
1.122500   226.484433
1.132500   224.896821
1.142500   224.129106
1.152500   223.488896
1.162500   222.864855
1.172500   222.800754
1.182500   222.591647
1.192500   222.955723
1.202500   222.959879
1.212500   222.728061
1.222500   222.985760
1.232500   222.308536
1.242500   222.534725
1.252500   222.241382
1.262500   222.150906
1.272500   223.654022
1.282500   224.998133
1.292500   228.255625
1.302500   231.268932
1.312500   233.780052
1.322500   237.896023
1.332500   241.542866
1.342500   246.642722
1.352500   252.800590
1.362500   256.880755
1.372500   260.560515
1.382500   264.344705
1.392500   267.964803
1.402500   269.301134
1.412500   274.850406
1.422500   276.761459
1.432500   278.111401
1.442500   281.732445
