21 1
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
1.364500   147.491263
1.374500   142.257011
1.384500   139.320716
1.394500   140.677012
1.404500   141.112325
1.414500   142.193345
1.424500   141.684605
1.434500   141.449141
1.444500   142.026034
1.454500   143.253635
1.464500   144.168998
1.474500   144.814529
1.484500   144.740725
1.494500   144.943971
1.504500   145.693542
1.514500   146.622800
1.524500   147.061217
1.534500   146.826462
1.544500   146.905172
1.554500   147.680227
1.564500   148.480801
1.574500   149.022248
1.584500   149.268808
1.594500   149.937263
1.604500   151.314521
1.614500   152.468214
1.624500   153.461143
1.634500   155.458153
1.644500   156.355253
1.654500   157.430322
1.664500   156.767302
1.674500   156.848824
1.684500   159.578577
1.694500   160.428349
1.704500   159.221713
--undefined--   --undefined--
