9 2
Time_s   F0_Hz
1.256500   88.826778
1.266500   92.238444
1.276500   88.526157
1.286500   88.485365
1.296500   88.096540
1.306500   87.404881
1.316500   87.594469
1.326500   88.005683
1.336500   86.537684
1.346500   87.242918
1.356500   88.057797
1.366500   88.931871
1.376500   89.719280
1.386500   91.210777
1.396500   91.979573
1.406500   92.371863
1.416500   92.613503
1.426500   92.645583
1.436500   93.020693
1.446500   93.709169
1.456500   93.866287
1.466500   95.379022
1.476500   96.646315
1.486500   96.615273
1.496500   98.203427
1.506500   99.600209
1.516500   101.177616
1.526500   102.095919
1.536500   102.039950
1.546500   101.681436
1.556500   101.958312
1.566500   102.771323
