40 1
Time_s   F0_Hz
--undefined--   --undefined--
1.982109   98.973653
1.992109   98.471967
2.002109   97.934708
2.012109   97.222303
2.022109   97.380759
2.032109   97.387555
2.042109   97.607159
2.052109   98.509591
2.062109   99.044264
2.072109   99.612896
2.082109   99.377597
2.092109   98.435785
2.102109   98.249641
2.112109   98.229064
2.122109   98.504544
2.132109   99.059582
2.142109   99.731334
2.152109   100.306848
2.162109   99.932851
2.172109   99.995475
2.182109   99.923536
2.192109   99.852422
2.202109   100.344645
2.212109   101.336705
2.222109   102.366418
2.232109   103.651312
2.242109   105.676362
2.252109   107.136330
2.262109   108.360660
2.272109   109.601848
2.282109   112.039405
2.292109   112.078277
2.302109   113.720847
2.312109   115.217411
2.322109   116.142373
2.332109   117.507242
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
