3 3
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
3.023500   214.329485
3.033500   210.111541
3.043500   206.138613
3.053500   202.952951
3.063500   198.748439
3.073500   193.741523
3.083500   188.422777
3.093500   186.851826
3.103500   187.310394
3.113500   188.587912
3.123500   190.596270
3.133500   191.940737
3.143500   192.400561
3.153500   190.941514
3.163500   187.260239
3.173500   184.716467
3.183500   182.209091
3.193500   180.707313
3.203500   182.728983
3.213500   182.616415
3.223500   182.706503
3.233500   182.444138
3.243500   181.695000
3.253500   180.026722
3.263500   180.991560
3.273500   180.540166
3.283500   179.129238
3.293500   179.184948
3.303500   178.459091
3.313500   179.117166
3.323500   179.954117
3.333500   183.267029
3.343500   184.920268
3.353500   186.665885
3.363500   189.079009
3.373500   191.771580
3.383500   195.461926
3.393500   196.427927
3.403500   198.965540
3.413500   201.246454
3.423500   198.689868
3.433500   194.692791
3.443500   195.329075
3.453500   195.935937
