40 4
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
8.642109   116.855583
8.652109   117.004730
8.662109   124.929580
8.672109   126.814531
8.682109   131.466642
8.692109   133.204674
8.702109   135.796478
8.712109   138.227282
8.722109   151.509216
8.732109   153.714380
8.742109   150.494271
8.752109   146.160866
8.762109   138.861817
8.772109   133.373326
8.782109   122.683203
8.792109   119.992237
8.802109   119.416058
8.812109   114.505154
8.822109   110.594093
8.832109   110.339232
8.842109   109.802352
