0 3
Time_s   F0_Hz
3.139921   107.500392
3.149921   105.677245
3.159921   104.058247
3.169921   103.077377
3.179921   102.784310
3.189921   101.851678
3.199921   101.081026
3.209921   100.582938
3.219921   98.455336
3.229921   97.659340
3.239921   96.153446
3.249921   94.289931
3.259921   93.451055
3.269921   93.068369
3.279921   91.426131
3.289921   90.927215
3.299921   89.116110
3.309921   87.171295
3.319921   88.002222
3.329921   86.324335
3.339921   85.052599
3.349921   85.956375
3.359921   85.927540
3.369921   83.354826
3.379921   83.197168
3.389921   82.982566
3.399921   82.873073
3.409921   83.641085
3.419921   83.721312
3.429921   83.310280
3.439921   81.516892
3.449921   82.384547
3.459921   82.305026
3.469921   83.067512
3.479921   82.738981
3.489921   82.822398
3.499921   83.238048
3.509921   84.293703
3.519921   84.853309
3.529921   85.281140
3.539921   88.706926
3.549921   93.049178
3.559921   95.246598
3.569921   98.019298
3.579921   101.392279
3.589921   103.161855
3.599921   107.424119
3.609921   110.484336
3.619921   112.598991
3.629921   116.487147
3.639921   120.419165
3.649921   123.781929
3.659921   128.724411
3.669921   132.000853
3.679921   137.610819
3.689921   146.289286
3.699921   151.767240
3.709921   159.367317
3.719921   170.543553
3.729921   164.231407
