36 3
Time_s   F0_Hz
--undefined--   --undefined--
4.446750   88.620357
4.456750   90.807532
4.466750   92.061887
4.476750   92.468678
4.486750   92.426703
4.496750   91.137353
4.506750   89.619767
4.516750   86.460418
4.526750   84.815943
4.536750   83.746244
4.546750   83.086259
4.556750   81.918512
4.566750   81.603936
4.576750   81.621051
4.586750   81.524178
4.596750   81.107948
4.606750   81.459496
4.616750   81.499829
4.626750   81.213493
4.636750   80.597952
4.646750   79.284812
4.656750   78.260331
4.666750   76.737188
4.676750   76.894030
4.686750   77.059294
4.696750   77.131177
4.706750   77.541131
4.716750   79.737906
4.726750   80.685530
4.736750   81.552622
4.746750   81.848947
4.756750   82.166492
4.766750   81.087250
4.776750   80.893872
4.786750   83.584571
--undefined--   --undefined--
