12 1
Time_s   F0_Hz
0.433500   241.938936
0.443500   243.580771
0.453500   239.618129
0.463500   235.631623
0.473500   230.174468
0.483500   225.624419
0.493500   222.788305
0.503500   220.705598
0.513500   219.428292
0.523500   218.737726
0.533500   217.368391
0.543500   216.184481
0.553500   214.951499
0.563500   214.051463
0.573500   213.530616
0.583500   213.019395
0.593500   212.980061
0.603500   213.059238
0.613500   213.268912
0.623500   213.583389
0.633500   214.577347
0.643500   216.103321
0.653500   217.240124
0.663500   217.841798
0.673500   218.584073
0.683500   219.488413
0.693500   220.172083
0.703500   221.102507
0.713500   222.640741
0.723500   223.874740
0.733500   225.134453
0.743500   227.307150
0.753500   227.078175
0.763500   227.533676
0.773500   227.820034
0.783500   226.088461
0.793500   225.411695
--undefined--   --undefined--
