Time_s   F0_Hz
2.678526   123.321951
2.688526   121.381768
2.698526   118.085014
2.708526   115.466918
2.718526   113.734413
2.728526   112.553640
2.738526   111.523757
2.748526   110.116292
2.758526   108.679928
2.768526   106.522067
2.778526   105.874932
2.788526   104.905273
2.798526   103.712515
2.808526   102.676177
2.818526   102.115245
2.828526   101.811815
2.838526   101.738579
2.848526   101.832616
2.858526   102.725906
2.868526   103.947392
2.878526   104.271186
2.888526   103.774505
2.898526   103.359076
2.908526   102.554841
2.918526   101.943565
2.928526   101.085740
2.938526   100.974544
2.948526   100.119701
2.958526   99.569763
2.968526   98.823027
2.978526   97.808838
2.988526   95.591529
2.998526   95.104740
3.008526   93.565178
3.018526   87.851836
3.028526   87.375772
3.038526   78.580219
