19 4
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
3.200500   136.415524
3.210500   135.544360
3.220500   136.369204
3.230500   138.689962
3.240500   133.518127
3.250500   130.836448
3.260500   128.301771
3.270500   127.576184
3.280500   123.717650
3.290500   121.572579
3.300500   117.123725
3.310500   115.150374
3.320500   108.325423
3.330500   106.487213
3.340500   101.742267
3.350500   98.657399
3.360500   97.262552
3.370500   94.287335
3.380500   90.332951
3.390500   87.487927
3.400500   86.894136
3.410500   90.310054
--undefined--   --undefined--
