0 4
Time_s   F0_Hz
4.273503   171.480556
4.283503   172.067927
4.293503   173.498988
4.303503   175.865960
4.313503   178.003840
4.323503   179.467968
4.333503   179.578310
4.343503   178.293276
4.353503   176.830124
4.363503   175.148814
4.373503   172.968643
4.383503   170.641863
4.393503   168.035050
4.403503   164.741327
4.413503   162.314629
4.423503   160.937522
4.433503   156.975430
4.443503   155.643064
4.453503   154.002752
4.463503   149.540839
4.473503   145.532406
4.483503   142.396804
4.493503   137.806223
4.503503   136.244303
4.513503   134.145363
4.523503   127.862919
4.533503   126.701410
4.543503   123.111160
4.553503   114.508427
4.563503   108.376500
4.573503   103.056776
4.583503   100.699447
4.593503   96.538778
4.603503   97.573646
4.613503   93.471019
