5 3
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
2.232143   116.411216
2.242143   116.849903
2.252143   110.705906
2.262143   109.186990
2.272143   107.087798
2.282143   104.011548
2.292143   103.754225
2.302143   103.300658
2.312143   102.237480
2.322143   101.138772
2.332143   97.412733
2.342143   95.459557
2.352143   93.803525
2.362143   90.943308
2.372143   87.710993
2.382143   79.707497
2.392143   80.033253
2.402143   79.068892
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
