0 1
Time_s   F0_Hz
1.093503   161.172095
1.103503   162.427236
1.113503   165.009888
1.123503   166.990997
1.133503   168.100080
1.143503   169.625448
1.153503   171.394223
1.163503   172.381453
1.173503   172.637360
1.183503   173.564788
1.193503   174.868568
1.203503   176.123345
1.213503   176.671112
1.223503   176.948683
1.233503   177.257280
1.243503   177.763817
1.253503   178.487107
1.263503   179.176547
1.273503   179.909487
1.283503   180.570122
1.293503   180.947315
1.303503   180.575244
1.313503   180.631085
1.323503   180.419923
1.333503   179.698696
1.343503   179.211026
1.353503   179.435953
1.363503   180.857563
1.373503   181.960827
1.383503   181.223528
1.393503   180.594154
1.403503   180.615985
1.413503   180.723646
1.423503   180.676667
1.433503   180.269190
1.443503   180.012756
1.453503   180.378391
1.463503   181.366184
1.473503   182.272157
1.483503   182.914900
1.493503   183.603908
1.503503   183.758096
1.513503   184.427038
1.523503   184.353404
1.533503   182.949645
1.543503   182.124031
1.553503   180.579751
