Time_s   F0_Hz
1.140500   273.533871
1.150500   274.482325
1.160500   275.849036
1.170500   268.150717
1.180500   256.010546
1.190500   244.027317
1.200500   237.899334
1.210500   235.332219
1.220500   235.273240
1.230500   236.377817
1.240500   237.472457
1.250500   238.777736
1.260500   239.808607
1.270500   241.423036
1.280500   242.815761
1.290500   243.466282
1.300500   243.908254
1.310500   244.184824
1.320500   244.654475
1.330500   245.803896
1.340500   246.786756
1.350500   247.190439
1.360500   247.207604
1.370500   247.328803
1.380500   248.349198
1.390500   248.817323
1.400500   248.966001
1.410500   249.778435
1.420500   250.931458
1.430500   251.399838
1.440500   251.914992
1.450500   252.181499
1.460500   252.919536
1.470500   253.535692
1.480500   253.788197
1.490500   253.368778
1.500500   252.846638
1.510500   251.968489
1.520500   253.067208
1.530500   257.746808
1.540500   262.260021
1.550500   266.327861
1.560500   277.031686
1.570500   285.259600
1.580500   288.435436
1.590500   291.580828
1.600500   291.393484
1.610500   292.151660
1.620500   289.231742
1.630500   286.550551
1.640500   275.267224
