19 3
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
2.300500   98.852328
2.310500   99.351320
2.320500   96.776412
2.330500   95.034938
2.340500   93.728249
2.350500   90.647310
2.360500   88.780406
2.370500   86.476998
2.380500   85.365463
2.390500   85.095516
2.400500   84.718810
2.410500   84.035608
2.420500   83.515056
2.430500   83.535124
2.440500   83.023785
2.450500   82.875745
2.460500   83.501129
2.470500   83.829872
2.480500   83.116414
2.490500   83.531264
2.500500   83.964449
2.510500   84.381829
2.520500   84.783628
2.530500   84.809462
2.540500   86.340272
2.550500   87.743102
2.560500   88.541959
2.570500   89.662653
2.580500   91.011707
2.590500   92.628753
2.600500   94.981559
2.610500   97.453975
2.620500   99.598318
2.630500   100.244770
2.640500   100.474447
2.650500   90.993608
--undefined--   --undefined--
