10 1
Time_s   F0_Hz
0.771500   169.984635
0.781500   167.317343
0.791500   170.619688
0.801500   176.966772
0.811500   181.044242
0.821500   183.030776
0.831500   183.128300
0.841500   181.702515
0.851500   178.279148
0.861500   176.780097
0.871500   176.300960
0.881500   176.680299
0.891500   176.625758
0.901500   176.637751
0.911500   176.298212
0.921500   173.848483
0.931500   170.734560
0.941500   168.179052
0.951500   166.354315
0.961500   165.886069
0.971500   165.324232
0.981500   165.021688
0.991500   164.698945
1.001500   163.569235
1.011500   163.169089
1.021500   163.121636
1.031500   163.788954
1.041500   163.933241
1.051500   162.519106
1.061500   161.554912
1.071500   161.606311
1.081500   162.104256
1.091500   162.221659
1.101500   161.289169
1.111500   160.269167
1.121500   160.765375
1.131500   162.042428
1.141500   162.577272
1.151500   164.687073
1.161500   167.986307
1.171500   169.557582
1.181500   169.757470
1.191500   165.505662
1.201500   164.744256
