34 1
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
5.384240   169.861297
5.394240   169.077513
5.404240   164.233151
5.414240   162.228162
5.424240   160.257714
5.434240   158.882891
5.444240   158.802063
5.454240   158.864035
5.464240   158.162306
5.474240   156.678708
5.484240   156.484500
5.494240   155.798464
5.504240   154.166122
5.514240   153.423924
5.524240   152.916958
5.534240   151.399483
5.544240   151.086865
5.554240   151.730052
5.564240   151.913264
5.574240   150.454805
5.584240   150.300788
5.594240   150.608759
5.604240   150.788174
5.614240   150.830178
5.624240   150.461672
5.634240   150.308754
5.644240   150.461187
5.654240   150.374927
5.664240   150.482545
5.674240   150.727216
5.684240   150.870956
5.694240   151.258240
5.704240   151.258746
5.714240   150.590357
5.724240   150.213356
5.734240   150.069211
5.744240   149.583701
5.754240   149.349347
5.764240   149.179614
5.774240   149.542974
5.784240   149.551980
5.794240   149.176106
5.804240   148.844210
5.814240   148.531634
5.824240   148.156514
5.834240   148.759549
--undefined--   --undefined--
