Time_s   F0_Hz
1.939458   78.416612
1.949458   79.938447
1.959458   80.080942
1.969458   81.183488
1.979458   82.122647
1.989458   81.968952
1.999458   82.317940
2.009458   84.124610
2.019458   84.796564
2.029458   85.650560
2.039458   86.625237
2.049458   87.536831
2.059458   88.026722
2.069458   89.210286
2.079458   90.570141
2.089458   92.051791
2.099458   93.656453
2.109458   95.676282
2.119458   97.641208
2.129458   100.645304
2.139458   104.577320
2.149458   106.690936
2.159458   107.315638
2.169458   107.343665
2.179458   106.824256
2.189458   106.761069
2.199458   104.788845
2.209458   100.657341
2.219458   94.418694
