5 1
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
0.802143   160.715586
0.812143   161.555769
0.822143   162.864372
0.832143   162.760723
0.842143   162.585572
0.852143   162.816683
0.862143   162.865064
0.872143   163.018329
0.882143   163.389924
0.892143   163.759798
0.902143   163.664840
0.912143   164.029452
0.922143   164.447521
0.932143   164.753004
0.942143   165.091283
0.952143   165.331571
0.962143   165.406846
0.972143   165.252625
0.982143   164.825113
0.992143   164.163928
1.002143   163.288454
1.012143   162.532286
1.022143   161.594223
1.032143   160.290115
1.042143   158.830211
1.052143   158.028519
1.062143   157.715370
1.072143   158.179367
1.082143   158.868331
1.092143   161.276960
1.102143   165.201764
1.112143   167.952585
1.122143   168.553234
1.132143   172.847895
1.142143   172.951950
1.152143   172.662612
1.162143   172.564978
1.172143   170.990282
1.182143   167.789177
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
