Time_s   F0_Hz
0.841500   162.112024
0.851500   159.214904
0.861500   156.625881
0.871500   165.886943
0.881500   155.901625
0.891500   150.222890
0.901500   148.594848
0.911500   147.214718
0.921500   147.221020
0.931500   149.215981
0.941500   147.170773
0.951500   146.554027
0.961500   147.355343
0.971500   148.181962
0.981500   148.455855
0.991500   148.422066
1.001500   148.533922
1.011500   148.716121
1.021500   148.875288
1.031500   148.757210
1.041500   148.650151
1.051500   148.651511
1.061500   148.772994
1.071500   149.090060
1.081500   148.744628
1.091500   148.405358
1.101500   147.641043
1.111500   146.423200
1.121500   145.702051
1.131500   146.550165
1.141500   146.822780
1.151500   146.080046
1.161500   145.535185
1.171500   144.386883
1.181500   142.882987
1.191500   142.825948
1.201500   143.247246
1.211500   142.526093
1.221500   138.465693
1.231500   138.220353
1.241500   141.361556
