43 2
Time_s   F0_Hz
1.024865   101.909472
1.034865   107.225619
1.044865   102.508166
1.054865   101.638801
1.064865   107.543499
1.074865   102.657178
1.084865   102.850304
1.094865   102.640486
1.104865   102.870134
1.114865   105.852628
1.124865   99.267007
1.134865   103.708722
1.144865   102.962268
1.154865   101.557338
1.164865   101.504045
1.174865   102.279351
1.184865   102.415017
1.194865   103.689960
1.204865   104.760560
1.214865   105.812814
1.224865   107.045934
1.234865   107.989167
1.244865   108.921802
1.254865   109.301786
1.264865   110.472239
1.274865   112.403265
1.284865   113.551076
1.294865   114.052308
1.304865   115.695338
1.314865   118.494042
1.324865   120.713537
1.334865   121.501037
1.344865   122.474435
1.354865   122.940072
1.364865   122.587037
1.374865   122.132276
1.384865   121.280638
