45 2
Time_s   F0_Hz
1.267688   100.326762
1.277687   95.834665
1.287688   95.279334
1.297687   98.545283
1.307688   97.326323
1.317687   98.284958
1.327688   98.857104
1.337687   100.178644
1.347687   101.156836
1.357687   101.740640
1.367687   101.617461
1.377687   100.874610
1.387687   102.817029
1.397687   103.555927
1.407687   103.675891
1.417687   103.658706
1.427687   103.347186
1.437688   103.909381
1.447688   104.314489
1.457688   104.968744
1.467687   104.708613
1.477688   104.889588
1.487687   105.016874
1.497688   105.113507
1.507687   105.577869
1.517688   106.158804
1.527687   107.740764
1.537688   110.379709
1.547687   111.569373
1.557688   115.593171
1.567687   117.794550
1.577688   120.661184
1.587687   122.359504
1.597688   126.268778
1.607687   127.713767
1.617688   130.222413
1.627687   130.539619
1.637688   131.325472
1.647687   131.340779
1.657687   132.336107
1.667687   132.780664
1.677687   132.813931
1.687688   130.273680
1.697687   130.835589
