18 2
Time_s   F0_Hz
--undefined--   --undefined--
1.534750   113.130079
1.544750   112.961357
1.554750   114.050983
1.564750   117.294658
1.574750   112.638047
1.584750   108.930431
1.594750   104.500656
1.604750   101.515551
1.614750   99.545168
1.624750   98.869839
1.634750   101.328431
1.644750   101.668421
1.654750   100.866951
1.664750   100.967209
1.674750   102.815350
1.684750   107.016652
1.694750   102.793980
1.704750   101.727833
1.714750   101.394645
1.724750   101.079883
1.734750   100.811224
1.744750   100.649640
1.754750   99.467034
1.764750   98.584853
1.774750   98.742894
1.784750   98.922311
1.794750   99.135488
1.804750   99.108569
1.814750   98.936896
1.824750   98.659681
1.834750   98.180424
1.844750   98.626547
1.854750   99.250792
1.864750   101.486707
1.874750   101.712896
1.884750   102.922781
1.894750   103.701159
1.904750   105.075359
1.914750   106.025390
1.924750   106.503223
1.934750   106.595880
1.944750   106.982058
1.954750   108.499073
1.964750   109.821231
1.974750   109.520027
1.984750   110.079687
1.994750   109.919238
2.004750   108.422949
2.014750   108.373378
2.024750   108.675245
--undefined--   --undefined--
